name	theme	type	cost	est_cust	maintenance_time	workers updated_at
Woodland Lightspeed	zoo	coaster	3872000	2868	25	5	2022-05-15T15:12:59.152Z
Intense Slingshot	extreme	flat	1254000	837	38	2	2022-05-15T15:12:59.152Z
Hyper Gyoza	extreme	food	104000	84	14	5	2022-05-15T15:12:59.152Z
Spooky Umbrellas	spooky	shop	130000	128	24	4	2022-05-15T15:12:59.152Z
Skull and Bones Chocolates	pirate	shop	45000	35	8	5	2022-05-15T15:12:59.152Z
Antarctic Umbrellas	zoo	shop	104000	150	15	2	2022-05-15T15:12:59.152Z
Safari Goliath	zoo	coaster	2270000	1217	31	4	2022-05-15T15:12:59.152Z
Irrational Violence	extreme	flat	1071000	1128	15	2	2022-05-15T15:12:59.152Z
Wildlife Udon	zoo	food	78000	59	5	4	2022-05-15T15:12:59.152Z
Eclipse Rush	space	coaster	1336000	1983	9	4	2022-05-15T15:12:59.152Z
Wetland Pets	aquarium	shop	103000	114	5	2	2022-05-15T15:12:59.152Z
Arrrr Lightspeed	pirate	coaster	1219000	1088	23	3	2022-05-15T15:12:59.152Z
Maniac Udon	extreme	food	125000	105	25	3	2022-05-15T15:12:59.152Z
Ultimate Maritozzo	extreme	food	134000	112	26	2	2022-05-15T15:12:59.152Z
Woodland Slide	zoo	kids	89000	503	5	5	2022-05-15T15:12:59.152Z
Ghastly Train	spooky	kids	129000	536	25	5	2022-05-15T15:12:59.152Z
Intense Stationery	extreme	shop	39000	62	19	3	2022-05-15T15:12:59.152Z
Wetland Violence	aquarium	flat	903000	614	18	2	2022-05-15T15:12:59.152Z
Avast Vengeance	pirate	coaster	3522000	2430	10	3	2022-05-15T15:12:59.152Z
Cemetery Hamburgers	spooky	food	138000	103	35	5	2022-05-15T15:12:59.152Z
Orbit Curry	space	food	79000	40	11	3	2022-05-15T15:12:59.152Z
Radical Fried Potatoes	extreme	food	95000	116	22	2	2022-05-15T15:12:59.152Z
Astronaut Pins	space	shop	64000	42	19	3	2022-05-15T15:12:59.152Z
Ghoulish Stationery	spooky	shop	99000	134	5	3	2022-05-15T15:12:59.152Z
Ghoulish Minecart	spooky	coaster	3330000	3288	35	5	2022-05-15T15:12:59.152Z
Madness Omelettes	extreme	food	71000	69	20	2	2022-05-15T15:12:59.152Z
Incorporeal Whiplash	spooky	coaster	2212000	2335	11	3	2022-05-15T15:12:59.152Z
Saltwater Flight	aquarium	kids	130000	249	30	3	2022-05-15T15:12:59.152Z
Black Flag Fried Potatoes	pirate	food	88000	60	5	3	2022-05-15T15:12:59.152Z
Rocketeer Nauseator	space	flat	1909000	1917	11	4	2022-05-15T15:12:59.152Z
Ghoulish Mini-coaster	spooky	coaster	2708000	3058	39	3	2022-05-15T15:12:59.152Z
Starfish Screamer	aquarium	coaster	3436000	3620	6	5	2022-05-15T15:12:59.152Z
Phantasmic Bumpers	spooky	kids	94000	486	22	2	2022-05-15T15:12:59.152Z
Dark Umbrellas	spooky	shop	124000	80	15	4	2022-05-15T15:12:59.152Z
Carnivore Windjammer	zoo	kids	148000	317	22	2	2022-05-15T15:12:59.152Z
Dolphin Traveler	aquarium	coaster	2563000	1917	15	3	2022-05-15T15:12:59.152Z
Madness Fury	extreme	flat	703000	422	16	2	2022-05-15T15:12:59.152Z
Reptile Fusion	zoo	coaster	3098000	1704	33	5	2022-05-15T15:12:59.152Z
Avast Toboggan	pirate	flat	1844000	1155	28	4	2022-05-15T15:12:59.152Z
Solstace Acupuncture	space	shop	84000	126	15	2	2022-05-15T15:12:59.152Z
Cosmonaut Shock	space	flat	1384000	1010	8	4	2022-05-15T15:12:59.152Z
Antarctic Fried Potatoes	zoo	food	146000	144	5	3	2022-05-15T15:12:59.152Z
Orbit Pizza	space	food	67000	58	19	4	2022-05-15T15:12:59.152Z
Harrowing Teacups	extreme	kids	86000	292	23	5	2022-05-15T15:12:59.152Z
Hippo Fried Potatoes	zoo	food	129000	107	20	2	2022-05-15T15:12:59.152Z
Dolphin Pins	aquarium	shop	83000	121	35	2	2022-05-15T15:12:59.152Z
Hatchery Boat	aquarium	kids	66000	267	14	3	2022-05-15T15:12:59.152Z
Sailor Thriller	pirate	coaster	3354000	2012	26	3	2022-05-15T15:12:59.152Z
Orbit Udon	space	food	87000	116	25	3	2022-05-15T15:12:59.152Z
Reptile Rotator	zoo	kids	82000	329	35	3	2022-05-15T15:12:59.152Z
Avast Mont Blanc	pirate	food	65000	88	40	2	2022-05-15T15:12:59.152Z
Maniac Omelettes	extreme	food	85000	92	30	5	2022-05-15T15:12:59.152Z
Shooting Star Vengeance	space	coaster	3537000	3199	25	3	2022-05-15T15:12:59.152Z
Algae Pets	aquarium	shop	31000	71	16	5	2022-05-15T15:12:59.152Z
Saltwater Triple Flip	aquarium	flat	1798000	1512	8	5	2022-05-15T15:12:59.152Z
Moon Traveler	space	coaster	3063000	2053	15	2	2022-05-15T15:12:59.152Z
Ghoulish Whiplash	spooky	coaster	1524000	1567	18	4	2022-05-15T15:12:59.152Z
Maniac Mini-coaster	extreme	coaster	2698000	2208	39	3	2022-05-15T15:12:59.152Z
Anchor Steak	pirate	food	143000	134	7	4	2022-05-15T15:12:59.152Z
Radical Cars	extreme	kids	123000	550	33	3	2022-05-15T15:12:59.152Z
Harrowing Lightspeed	extreme	coaster	3392000	3694	11	5	2022-05-15T15:12:59.152Z
Hatchery Thriller	aquarium	coaster	2731000	2730	8	2	2022-05-15T15:12:59.152Z
Radical Shaker	extreme	flat	1034000	1310	29	4	2022-05-15T15:12:59.152Z
Incorporeal Toboggan	spooky	flat	1621000	956	40	2	2022-05-15T15:12:59.152Z
Skull and Bones Shock	pirate	flat	1801000	1385	11	5	2022-05-15T15:12:59.152Z
Extreme Vengeance	extreme	coaster	2892000	2360	16	4	2022-05-15T15:12:59.152Z
Incorporeal Walkabout	spooky	kids	68000	427	22	3	2022-05-15T15:12:59.152Z
Phantasmic Flight	spooky	kids	128000	71	37	4	2022-05-15T15:12:59.152Z
Radical Goliath	extreme	coaster	1310000	1017	36	3	2022-05-15T15:12:59.152Z
Waterlogged Massage	aquarium	shop	39000	55	30	3	2022-05-15T15:12:59.152Z
Submerged Hats	aquarium	shop	97000	148	14	3	2022-05-15T15:12:59.152Z
Void Plunge	space	coaster	2431000	2131	25	5	2022-05-15T15:12:59.152Z
Comet Boat	space	kids	87000	74	35	4	2022-05-15T15:12:59.152Z
Mutiny Bungie	pirate	flat	1307000	951	39	5	2022-05-15T15:12:59.152Z
Hatchery Chaser	aquarium	coaster	1785000	992	24	4	2022-05-15T15:12:59.152Z
Saltwater Rush	aquarium	coaster	2667000	2714	34	4	2022-05-15T15:12:59.152Z
Inordinate Pizza	extreme	food	122000	124	37	5	2022-05-15T15:12:59.152Z
Elephant Pizza	zoo	food	60000	87	10	3	2022-05-15T15:12:59.152Z
Utter Pets	extreme	shop	58000	65	18	2	2022-05-15T15:12:59.152Z
Marine Intimidator	aquarium	coaster	2616000	2468	21	5	2022-05-15T15:12:59.152Z
Haunted Maritozzo	spooky	food	86000	100	39	5	2022-05-15T15:12:59.152Z
Spooky Intimidator	spooky	coaster	693000	1344	12	5	2022-05-15T15:12:59.152Z
Gravity Toboggan	space	flat	652000	727	31	3	2022-05-15T15:12:59.152Z
Hyper Rotator	extreme	kids	79000	358	29	5	2022-05-15T15:12:59.152Z
Extreme Chocolates	extreme	shop	35000	61	9	4	2022-05-15T15:12:59.152Z
Arrrr Curry	pirate	food	77000	120	26	2	2022-05-15T15:12:59.152Z
Shooting Star Hot Dogs	space	food	57000	114	36	3	2022-05-15T15:12:59.152Z
Ultimate Bumpers	extreme	kids	114000	275	22	2	2022-05-15T15:12:59.152Z
Nightmare Stationery	spooky	shop	66000	47	18	2	2022-05-15T15:12:59.152Z
Elephant Pins	zoo	shop	116000	112	38	2	2022-05-15T15:12:59.152Z
Haunted Fried Potatoes	spooky	food	137000	108	33	3	2022-05-15T15:12:59.152Z
Black Hole Candy	space	shop	129000	102	6	3	2022-05-15T15:12:59.152Z
Rocketeer Windjammer	space	kids	149000	340	38	2	2022-05-15T15:12:59.152Z
Grave Flight	spooky	kids	79000	511	6	4	2022-05-15T15:12:59.152Z
Galleon Minecart	pirate	coaster	2846000	2901	15	5	2022-05-15T15:12:59.152Z
Severe Screamer	extreme	coaster	3245000	3085	39	3	2022-05-15T15:12:59.152Z
Plank Toboggan	pirate	flat	785000	1034	24	2	2022-05-15T15:12:59.152Z
Treasure Fusion	pirate	coaster	1729000	1526	26	5	2022-05-15T15:12:59.152Z
Forest Train	zoo	kids	79000	457	20	2	2022-05-15T15:12:59.152Z
Asteroid Traveler	space	coaster	2410000	2978	31	2	2022-05-15T15:12:59.152Z
Orbit Hot Dogs	space	food	74000	96	7	5	2022-05-15T15:12:59.152Z
Saltwater Ramen	aquarium	food	105000	112	31	2	2022-05-15T15:12:59.152Z
Utter Stationery	extreme	shop	109000	134	37	2	2022-05-15T15:12:59.152Z
Skull and Bones Shaker	pirate	flat	1967000	1376	13	3	2022-05-15T15:12:59.152Z
Aquatic Vengeance	aquarium	coaster	3355000	1845	26	2	2022-05-15T15:12:59.152Z
Reptile Chaser	zoo	coaster	1388000	1529	37	3	2022-05-15T15:12:59.152Z
Grave Triple Flip	spooky	flat	1902000	1093	5	3	2022-05-15T15:12:59.152Z
Nautical Nauseator	pirate	flat	1306000	1062	6	5	2022-05-15T15:12:59.152Z
Woodland Spinner	zoo	flat	1074000	1306	20	4	2022-05-15T15:12:59.152Z
Ghastly Candy	spooky	shop	54000	29	5	4	2022-05-15T15:12:59.152Z
Waterlogged Pins	aquarium	shop	93000	61	13	2	2022-05-15T15:12:59.152Z
Panda Umbrellas	zoo	shop	53000	35	36	3	2022-05-15T15:12:59.152Z
Black Flag Balloons	pirate	shop	100000	119	25	2	2022-05-15T15:12:59.152Z
Antarctic Speedway	zoo	kids	149000	323	29	2	2022-05-15T15:12:59.152Z
Asteroid Hats	space	shop	115000	134	25	2	2022-05-15T15:12:59.152Z
Dark Rush	spooky	coaster	1994000	2787	23	5	2022-05-15T15:12:59.152Z
Starfish Massage	aquarium	shop	73000	71	39	3	2022-05-15T15:12:59.152Z
Waterlogged Thriller	aquarium	coaster	2633000	3139	5	5	2022-05-15T15:12:59.152Z
Dolphin Hats	aquarium	shop	105000	123	26	4	2022-05-15T15:12:59.152Z
Forest Umbrellas	zoo	shop	106000	85	29	4	2022-05-15T15:12:59.152Z
Reptile Cars	zoo	kids	77000	505	15	5	2022-05-15T15:12:59.152Z
Cosmonaut Bumpers	space	kids	106000	350	31	3	2022-05-15T15:12:59.152Z
Scary Nauseator	spooky	flat	1005000	1126	22	5	2022-05-15T15:12:59.152Z
Starfish Boat	aquarium	kids	148000	424	35	2	2022-05-15T15:12:59.152Z
Orbit Fried Chicken	space	food	65000	51	11	5	2022-05-15T15:12:59.152Z
Skull and Bones Rotator	pirate	kids	122000	358	19	5	2022-05-15T15:12:59.152Z
Comet Acupuncture	space	shop	63000	80	33	5	2022-05-15T15:12:59.152Z
Antarctic Omelettes	zoo	food	97000	69	33	4	2022-05-15T15:12:59.152Z
Utter Swing	extreme	kids	95000	394	34	3	2022-05-15T15:12:59.152Z
Algae Umbrellas	aquarium	shop	117000	70	31	3	2022-05-15T15:12:59.152Z
Madness Balloons	extreme	shop	55000	120	32	4	2022-05-15T15:12:59.152Z
Unreasonable Curry	extreme	food	97000	82	33	2	2022-05-15T15:12:59.152Z
Hyper Bumpers	extreme	kids	73000	445	31	4	2022-05-15T15:12:59.152Z
Forest Speedway	zoo	kids	122000	291	37	5	2022-05-15T15:12:59.152Z
Anchor Minecart	pirate	coaster	715000	1023	26	2	2022-05-15T15:12:59.152Z
Planetfall Swing	space	kids	135000	518	10	2	2022-05-15T15:12:59.152Z
Irrational Dodgems	extreme	kids	150000	333	8	4	2022-05-15T15:12:59.152Z
Inordinate House of Mirrors	extreme	kids	111000	467	31	4	2022-05-15T15:12:59.152Z
Incorporeal Lightspeed	spooky	coaster	1104000	1378	27	4	2022-05-15T15:12:59.152Z
Saltwater Udon	aquarium	food	51000	93	24	3	2022-05-15T15:12:59.152Z
Eclipse Curry	space	food	96000	104	26	4	2022-05-15T15:12:59.152Z
Mutiny Udon	pirate	food	68000	74	5	4	2022-05-15T15:12:59.152Z
Algae Bungie	aquarium	flat	727000	1123	15	2	2022-05-15T15:12:59.152Z
Mutiny Nauseator	pirate	flat	1962000	1813	13	5	2022-05-15T15:12:59.152Z
Spooky Violence	spooky	flat	1286000	1596	29	3	2022-05-15T15:12:59.152Z
Planetfall Candy	space	shop	100000	82	9	5	2022-05-15T15:12:59.152Z
Ghastly Rocket	spooky	coaster	791000	428	25	5	2022-05-15T15:12:59.152Z
Black Flag Whirlwind	pirate	flat	1590000	1616	14	3	2022-05-15T15:12:59.152Z
Utter Acupuncture	extreme	shop	65000	63	13	2	2022-05-15T15:12:59.152Z
Spooky Drop	spooky	flat	645000	380	9	3	2022-05-15T15:12:59.152Z
Spooky Stomach-turner	spooky	flat	887000	1436	7	4	2022-05-15T15:12:59.152Z
Solstace House of Mirrors	space	kids	131000	513	26	5	2022-05-15T15:12:59.152Z
Hatchery Intimidator	aquarium	coaster	2550000	2353	33	3	2022-05-15T15:12:59.152Z
Woodland Fusion	zoo	coaster	3305000	2474	18	5	2022-05-15T15:12:59.152Z
Eclipse Turbulence	space	flat	761000	929	19	3	2022-05-15T15:12:59.152Z
Marine Bungie	aquarium	flat	745000	718	28	5	2022-05-15T15:12:59.152Z
Moon Mont Blanc	space	food	89000	91	24	4	2022-05-15T15:12:59.152Z
Phantasmic Chaser	spooky	coaster	2148000	2963	39	5	2022-05-15T15:12:59.152Z
Solstace Gyoza	space	food	60000	62	22	5	2022-05-15T15:12:59.152Z
Scary Pets	spooky	shop	68000	51	27	5	2022-05-15T15:12:59.152Z
Comet Dodgems	space	kids	97000	214	14	4	2022-05-15T15:12:59.152Z
Eclipse Cars	space	kids	122000	402	33	2	2022-05-15T15:12:59.152Z
Planetfall Screamer	space	coaster	3932000	2555	6	5	2022-05-15T15:12:59.152Z
Carnivore Hats	zoo	shop	126000	156	30	5	2022-05-15T15:12:59.152Z
Black Flag Traveler	pirate	coaster	2504000	2531	24	4	2022-05-15T15:12:59.152Z
Safari Pins	zoo	shop	40000	51	5	5	2022-05-15T15:12:59.152Z
Pachyderm Rotator	zoo	kids	63000	299	27	4	2022-05-15T15:12:59.152Z
Pachyderm Hamburgers	zoo	food	130000	158	33	5	2022-05-15T15:12:59.152Z
Skull and Bones Gyoza	pirate	food	137000	79	32	2	2022-05-15T15:12:59.152Z
Hatchery Udon	aquarium	food	66000	58	17	2	2022-05-15T15:12:59.152Z
Algae Coaster	aquarium	coaster	874000	864	13	4	2022-05-15T15:12:59.152Z
Mutiny Balloons	pirate	shop	68000	94	16	3	2022-05-15T15:12:59.152Z
Pirate Balloons	pirate	shop	69000	41	25	5	2022-05-15T15:12:59.152Z
Asteroid Intimidator	space	coaster	1814000	2445	40	4	2022-05-15T15:12:59.152Z
Mutiny -Go-Round	pirate	kids	95000	427	26	4	2022-05-15T15:12:59.152Z
Skeleton Lightspeed	spooky	coaster	2888000	2353	39	5	2022-05-15T15:12:59.152Z
Ghoulish Massage	spooky	shop	83000	109	8	5	2022-05-15T15:12:59.152Z
Planetfall Drop	space	flat	1480000	1414	28	3	2022-05-15T15:12:59.152Z
Monkey Force	zoo	coaster	3134000	3313	9	5	2022-05-15T15:12:59.152Z
Cosmonaut Windjammer	space	kids	85000	220	10	5	2022-05-15T15:12:59.152Z
Forest Windjammer	zoo	kids	91000	474	13	4	2022-05-15T15:12:59.152Z
Grave Ramen	spooky	food	110000	64	13	3	2022-05-15T15:12:59.152Z
Irrational Bungie	extreme	flat	942000	643	38	4	2022-05-15T15:12:59.152Z
Jungle Violence	zoo	flat	1540000	1449	37	5	2022-05-15T15:12:59.152Z
Hippo Violence	zoo	flat	1717000	1816	34	2	2022-05-15T15:12:59.152Z
Hatchery Umbrellas	aquarium	shop	45000	105	10	2	2022-05-15T15:12:59.152Z
Void Vengeance	space	coaster	1392000	1632	20	2	2022-05-15T15:12:59.152Z
Antarctic Steak	zoo	food	111000	137	31	3	2022-05-15T15:12:59.152Z
Grave Umbrellas	spooky	shop	71000	70	14	4	2022-05-15T15:12:59.152Z
Scary Turbulence	spooky	flat	1983000	1805	39	3	2022-05-15T15:12:59.152Z
Rocketeer Bungie	space	flat	1409000	1219	32	2	2022-05-15T15:12:59.152Z
Jellyfish Lightspeed	aquarium	coaster	1443000	2562	39	2	2022-05-15T15:12:59.152Z
Safari Gyoza	zoo	food	133000	106	11	3	2022-05-15T15:12:59.152Z
Radical Train	extreme	kids	91000	280	5	2	2022-05-15T15:12:59.152Z
Submerged Speedway	aquarium	kids	111000	245	29	2	2022-05-15T15:12:59.152Z
Dolphin Slingshot	aquarium	flat	1023000	584	22	3	2022-05-15T15:12:59.152Z
Submerged Hamburgers	aquarium	food	133000	165	33	3	2022-05-15T15:12:59.152Z
Submerged Lightspeed	aquarium	coaster	2851000	3277	5	3	2022-05-15T15:12:59.152Z
Arrrr Force	pirate	coaster	1394000	1661	11	4	2022-05-15T15:12:59.152Z
Elephant Whiplash	zoo	coaster	3197000	3192	40	2	2022-05-15T15:12:59.152Z
Haunted Drop	spooky	flat	1150000	1482	26	4	2022-05-15T15:12:59.152Z
Moon Triple Flip	space	flat	962000	823	6	2	2022-05-15T15:12:59.152Z
Cosmonaut Rush	space	coaster	3301000	2709	29	2	2022-05-15T15:12:59.152Z
Intense Massage	extreme	shop	69000	82	30	2	2022-05-15T15:12:59.152Z
Scary Thriller	spooky	coaster	2568000	2880	22	3	2022-05-15T15:12:59.152Z
Void Crepes	space	food	98000	59	19	3	2022-05-15T15:12:59.152Z
Mutiny Umbrellas	pirate	shop	64000	94	24	4	2022-05-15T15:12:59.152Z
Ultimate Steak	extreme	food	117000	114	22	5	2022-05-15T15:12:59.152Z
Astronaut Coaster	space	coaster	1464000	2027	23	2	2022-05-15T15:12:59.152Z
Galleon Toboggan	pirate	flat	836000	425	15	3	2022-05-15T15:12:59.152Z
Zombie Fury	spooky	flat	1408000	857	25	3	2022-05-15T15:12:59.152Z
Creepy Massage	spooky	shop	109000	144	16	3	2022-05-15T15:12:59.152Z
Maniac Portraits	extreme	shop	70000	45	28	4	2022-05-15T15:12:59.152Z
Irrational Stationery	extreme	shop	41000	60	17	2	2022-05-15T15:12:59.152Z
Monkey Drop	zoo	flat	1693000	1431	6	2	2022-05-15T15:12:59.152Z
Reptile Bungie	zoo	flat	1431000	1633	33	2	2022-05-15T15:12:59.152Z
Scary Drop	spooky	flat	1169000	1380	31	5	2022-05-15T15:12:59.152Z
Ghoulish Hamburgers	spooky	food	144000	80	37	2	2022-05-15T15:12:59.152Z
Dolphin Rush	aquarium	coaster	2237000	2798	17	3	2022-05-15T15:12:59.152Z
Astronaut Fusion	space	coaster	3016000	3469	5	5	2022-05-15T15:12:59.152Z
Ghoulish Coaster	spooky	coaster	1933000	2897	26	3	2022-05-15T15:12:59.152Z
Excessive Teacups	extreme	kids	65000	455	28	5	2022-05-15T15:12:59.152Z
Satellite Shock	space	flat	1616000	919	39	5	2022-05-15T15:12:59.152Z
Screaming Pets	spooky	shop	63000	83	9	4	2022-05-15T15:12:59.152Z
Skeleton Bumpers	spooky	kids	67000	172	19	4	2022-05-15T15:12:59.152Z
Nightmare Steak	spooky	food	65000	111	31	3	2022-05-15T15:12:59.152Z
Dolphin Triple Flip	aquarium	flat	1089000	1428	14	5	2022-05-15T15:12:59.152Z
Cosmonaut Stomach-turner	space	flat	941000	846	18	3	2022-05-15T15:12:59.152Z
Ultimate Lightspeed	extreme	coaster	2535000	1769	26	2	2022-05-15T15:12:59.152Z
Maniac Vengeance	extreme	coaster	3274000	2599	12	2	2022-05-15T15:12:59.152Z
Astronaut Stationery	space	shop	87000	130	15	4	2022-05-15T15:12:59.152Z
Starfish Toboggan	aquarium	flat	1088000	879	9	4	2022-05-15T15:12:59.152Z
Utter Balloons	extreme	shop	64000	79	17	3	2022-05-15T15:12:59.152Z
Gravity Stomach-turner	space	flat	1400000	1230	14	5	2022-05-15T15:12:59.152Z
Unreasonable Fusion	extreme	coaster	2654000	2890	17	3	2022-05-15T15:12:59.152Z
Radical Hamburgers	extreme	food	100000	78	5	4	2022-05-15T15:12:59.152Z
Woodland Plunge	zoo	coaster	1525000	1426	38	3	2022-05-15T15:12:59.152Z
Satellite Souvenirs	space	shop	129000	158	28	5	2022-05-15T15:12:59.152Z
Dark Chocolates	spooky	shop	86000	114	24	3	2022-05-15T15:12:59.152Z
Treasure Thriller	pirate	coaster	3384000	2841	9	5	2022-05-15T15:12:59.152Z
Scary Fury	spooky	flat	713000	1269	8	4	2022-05-15T15:12:59.152Z
Intense Hamburgers	extreme	food	146000	169	38	2	2022-05-15T15:12:59.152Z
Gravity Rush	space	coaster	957000	1940	30	3	2022-05-15T15:12:59.152Z
Marine Mont Blanc	aquarium	food	93000	116	14	5	2022-05-15T15:12:59.152Z
Jungle Pizza	zoo	food	96000	133	6	3	2022-05-15T15:12:59.152Z
Orbit Chocolates	space	shop	94000	88	9	4	2022-05-15T15:12:59.152Z
Shooting Star Force	space	coaster	828000	996	25	3	2022-05-15T15:12:59.152Z
Comet House of Mirrors	space	kids	81000	368	14	2	2022-05-15T15:12:59.152Z
Panda Souvenirs	zoo	shop	56000	99	23	4	2022-05-15T15:12:59.152Z
Eclipse Rocket	space	coaster	2127000	1464	32	5	2022-05-15T15:12:59.152Z
Capybara Fusion	zoo	coaster	2264000	2050	8	2	2022-05-15T15:12:59.152Z
Forest Thriller	zoo	coaster	2417000	1858	11	3	2022-05-15T15:12:59.152Z
Solstace Balloons	space	shop	94000	126	11	5	2022-05-15T15:12:59.152Z
Anchor Sushi	pirate	food	126000	82	31	5	2022-05-15T15:12:59.152Z
Radical Zipper	extreme	flat	1532000	845	31	3	2022-05-15T15:12:59.152Z
Unreasonable Acupuncture	extreme	shop	59000	48	23	3	2022-05-15T15:12:59.152Z
Panda Sushi	zoo	food	132000	106	7	5	2022-05-15T15:12:59.152Z
Maniac Nauseator	extreme	flat	1433000	1560	18	2	2022-05-15T15:12:59.152Z
Cemetery Mountain	spooky	coaster	2741000	2675	38	5	2022-05-15T15:12:59.152Z
Exosphere Acupuncture	space	shop	49000	120	27	5	2022-05-15T15:12:59.152Z
Sailor Chocolates	pirate	shop	100000	130	9	4	2022-05-15T15:12:59.152Z
Hatchery Train	aquarium	kids	126000	475	14	2	2022-05-15T15:12:59.152Z
Creepy Force	spooky	coaster	1198000	1348	33	4	2022-05-15T15:12:59.152Z
Grave Dodgems	spooky	kids	141000	362	19	2	2022-05-15T15:12:59.152Z
Radical Walkabout	extreme	kids	85000	491	31	5	2022-05-15T15:12:59.152Z
Screaming Chocolates	spooky	shop	73000	68	32	2	2022-05-15T15:12:59.152Z
Satellite Maritozzo	space	food	67000	78	25	3	2022-05-15T15:12:59.152Z
Maniac Windjammer	extreme	kids	67000	318	31	2	2022-05-15T15:12:59.152Z
Astronaut Maritozzo	space	food	145000	86	20	5	2022-05-15T15:12:59.152Z
Anchor Portraits	pirate	shop	38000	19	15	2	2022-05-15T15:12:59.152Z
Rocketeer Swing	space	kids	128000	354	25	3	2022-05-15T15:12:59.152Z
Unreasonable Massage	extreme	shop	93000	62	40	2	2022-05-15T15:12:59.152Z
Grave Whirlwind	spooky	flat	1817000	1184	38	3	2022-05-15T15:12:59.152Z
Wildlife Massage	zoo	shop	55000	38	19	3	2022-05-15T15:12:59.152Z
Moon Turbulence	space	flat	836000	1125	18	4	2022-05-15T15:12:59.152Z
Pachyderm Massage	zoo	shop	58000	63	38	2	2022-05-15T15:12:59.152Z
Dolphin Screamer	aquarium	coaster	3109000	2385	10	2	2022-05-15T15:12:59.152Z
Black Flag Train	pirate	kids	62000	225	27	5	2022-05-15T15:12:59.152Z
Anchor Rocket	pirate	coaster	1940000	1687	30	4	2022-05-15T15:12:59.152Z
Skeleton Nauseator	spooky	flat	956000	796	13	2	2022-05-15T15:12:59.152Z
Dolphin Nauseator	aquarium	flat	916000	960	30	5	2022-05-15T15:12:59.152Z
Cosmonaut Walkabout	space	kids	87000	537	10	5	2022-05-15T15:12:59.152Z
Radical Vengeance	extreme	coaster	2285000	2816	14	4	2022-05-15T15:12:59.152Z
Rocketeer Gyoza	space	food	73000	132	12	3	2022-05-15T15:12:59.152Z
Harrowing Candy	extreme	shop	76000	103	35	2	2022-05-15T15:12:59.152Z
Harrowing Speedway	extreme	kids	110000	77	22	4	2022-05-15T15:12:59.152Z
Sailor Pets	pirate	shop	114000	136	35	2	2022-05-15T15:12:59.152Z
Inordinate Violence	extreme	flat	1234000	1258	13	3	2022-05-15T15:12:59.152Z
Algae Rocket	aquarium	coaster	1771000	2855	16	5	2022-05-15T15:12:59.152Z
Planetfall Balloons	space	shop	84000	129	20	3	2022-05-15T15:12:59.152Z
Coral -Go-Round	aquarium	kids	60000	98	9	2	2022-05-15T15:12:59.152Z
Inordinate -Go-Round	extreme	kids	66000	459	33	4	2022-05-15T15:12:59.152Z
Nightmare Fried Potatoes	spooky	food	130000	108	5	4	2022-05-15T15:12:59.152Z
Ultimate Slingshot	extreme	flat	1492000	1564	29	4	2022-05-15T15:12:59.152Z
Orbit Toboggan	space	flat	1356000	712	35	5	2022-05-15T15:12:59.152Z
Coral Stationery	aquarium	shop	31000	66	37	3	2022-05-15T15:12:59.152Z
Inordinate Pins	extreme	shop	98000	76	21	3	2022-05-15T15:12:59.152Z
Mutiny Vengeance	pirate	coaster	2086000	1935	21	3	2022-05-15T15:12:59.152Z
Jellyfish Steak	aquarium	food	76000	42	25	2	2022-05-15T15:12:59.152Z
Marine Curry	aquarium	food	101000	95	6	2	2022-05-15T15:12:59.152Z
Safari Pets	zoo	shop	38000	115	17	2	2022-05-15T15:12:59.152Z
Monkey Portraits	zoo	shop	43000	77	22	5	2022-05-15T15:12:59.152Z
Skeleton Minecart	spooky	coaster	3518000	3220	10	4	2022-05-15T15:12:59.152Z
Hippo Turbulence	zoo	flat	620000	621	27	2	2022-05-15T15:12:59.152Z
Phantasmic Vengeance	spooky	coaster	3680000	3410	28	5	2022-05-15T15:12:59.152Z
Nautical Fury	pirate	flat	1360000	920	28	3	2022-05-15T15:12:59.152Z
Dolphin Zipper	aquarium	flat	503000	1072	21	3	2022-05-15T15:12:59.152Z
Safari Glider	zoo	coaster	3085000	2567	21	4	2022-05-15T15:12:59.152Z
Ultimate Flight	extreme	kids	67000	244	16	4	2022-05-15T15:12:59.152Z
Coral Rocket	aquarium	coaster	2552000	2843	40	4	2022-05-15T15:12:59.152Z
Harrowing Steak	extreme	food	139000	75	31	3	2022-05-15T15:12:59.152Z
Wetland Train	aquarium	kids	111000	58	39	2	2022-05-15T15:12:59.152Z
Treasure Maritozzo	pirate	food	50000	100	29	2	2022-05-15T15:12:59.152Z
Creepy Crepes	spooky	food	68000	98	20	3	2022-05-15T15:12:59.152Z
Zombie Souvenirs	spooky	shop	70000	78	40	4	2022-05-15T15:12:59.152Z
Maniac Candy	extreme	shop	35000	68	14	3	2022-05-15T15:12:59.152Z
Galleon Boat	pirate	kids	61000	410	31	5	2022-05-15T15:12:59.152Z
Scary Hats	spooky	shop	106000	124	38	4	2022-05-15T15:12:59.152Z
Dark Glider	spooky	coaster	3281000	3502	35	2	2022-05-15T15:12:59.152Z
Utter Shaker	extreme	flat	581000	722	36	4	2022-05-15T15:12:59.152Z
Dark Sushi	spooky	food	104000	148	25	3	2022-05-15T15:12:59.152Z
Plank Swing	pirate	kids	85000	95	8	4	2022-05-15T15:12:59.152Z
Jungle Fried Potatoes	zoo	food	107000	57	15	2	2022-05-15T15:12:59.152Z
